app|Япония|Japón
app|Ямайка|Jamaica
app|Южный Судан|Sudán del Sur
app|Южная Осетия|Osetia del Sur
app|Южная Джорджия и Южные Сандвичевы острова|Islas Georgias del Sur y Sandwich del Sur
app|Южная Африка|Sudáfrica
app|Эфиопия|Эфиопия
app|Эстония|Estonia
app|Эритрея|Eritrea
app|Эль-Сальвадор|El Salvador
app|Эландские острова|Islas Åland
app|Экваториальная Гвинея|Guinea Ecuatorial
app|Эквадор|Ecuador
app|Шри-Ланка|Sri Lanka
app|Шпицберген и Ян Майен|Spitsbergen y Jan Mayen
app|Швеция|Suecia
app|Швейцария|Suiza
app|Чили|Chile
app|Чешская Республика|República Checa
app|Черногория|Montenegro
app|Чад|Chad
app|Центрально-Африканская Республика|República Centroafricana
app|Хорватия|Croacia
app|Французские Южные территории|Territorios Australes Franceses
app|Французская Полинезия|Polinesia Francesa
app|Французская Гвиана|Guayana Francesa
app|Франция|Francia
app|Фолклендские острова (Мальвинские)|Islas Malvinas (Falkland Islands)
app|Финляндия|Finlandia
app|Филиппины|Filipinas
app|Фиджи|Fiyi
app|Фарерские острова|Islas Feroe
app|Уругвай|Uruguay
app|Уоллис и Футуна|Wallis y Futuna
app|Украина|Ucrania
app|Узбекистан|Uzbekistán
app|Уганда|Uganda
app|Турция|Turquía
app|Туркмения|Turkmenistán
app|Тунис|Túnez
app|Тувалу|Tuvalu
app|Тринидад и Тобаго|Trinidad y Tobago
app|Тонга|Tonga
app|Токелау|Tokelau
app|Того|Togo
app|Тимор-Лесте|Timor Oriental
app|Танзания, Объединенная Республика|Tanzania, República Unida de
app|Тайвань (Китай)|Taiwán (China)
app|Таиланд|Tailandia
app|Таджикистан|Tayikistán
app|Сьерра-Леоне|Sierra Leona
app|Суринам|Suriname
app|Судан|Sudán
app|Сомали|Somalia
app|Соломоновы острова|Islas Salomón
app|Соединенные Штаты|Estados Unidos
app|Соединенное Королевство|El Reino Unido
app|Словения|Eslovenia
app|Словакия|Eslovaquia
app|Сирийская Арабская Республика|República Árabe Siria
app|Синт-Мартен|Sint-Marten
app|Сингапур|Singapur
app|Сейшелы|Seychelles
app|Сербия|Serbia
app|Сент-Пьер и Микелон|San Pedro y Miquelón
app|Сент-Китс и Невис|San Cristóbal y Nieves
app|Сент-Люсия|Santa Lucía
app|Сент-Винсент и Гренадины|San Vicente y las Granadinas
app|Сенегал|Senegal
app|Сен-Мартен|Saint-Martin
